0,75,101,93,134,142,115,116,96,105,87,108,155,154,165,89,102,602402,45543,68,83,67,69,57,51,81,65,58,316754,609683,45246,24841,68390,60761,49969,6685,179228,423072,189138,371825,583154,541015,11442,473434,184844,184688,620523,251338,582495,124934,140506,221149,303361,41429,359228,520009,588619,337437,713449,662534
40491,43578,59089,55246,61881,45334,43283,10006,34636,23644,14600,34537,39496,30295,102416,38557,68600,26837,20408,27759,9669,13842,20199,19837,20945,29872,15431,15206,42201,23895,22375,11429,10590,5458,44401,1965,153793,85754,41101,40710,113916,82778,5938,66267,30604,27609,58469,22796,125488,92084,4211,6931,8380,53772,45343,61089,28733,33731,82917,29168
9169,26820,7098,5999,8188,5643,5620,10110,12576,15621,21084,13292,10442,14317,15796,13123,9336,7722,5287,8183,9762,10567,5552,12694,13421,8361,9992,5726,9228,7682,5259,10392,13917,6929,5624,7596,5043,4813,8585,7511,13689,11643,13746,7680,10078,12636,22576,13363,12726,13282,9220,10394,10150,6228,7516,5963,7582,8775,9728,6894
494,716,544,669,590,648,760,919,669,856,1206,779,850,773,885,1218,1167,872,990,1232,1031,1081,1096,1100,869,477,864,856,643,837,978,1078,1340,1362,1535,1201,791,962,969,1266,1035,1377,312,694,795,698,940,1103,1118,1046,701,821,769,1246,1113,1495,1461,1069,1163,941
494,1441,1180,2570,1829,1212,984,1567,1379,1996,1187,1365,1003,1241,1373,1454,1616,1537,1890,2154,2329,1849,2273,2453,1559,1854,1479,1523,1270,1551,1890,2009,2094,1963,1608,2054,1099,1123,1308,1435,1580,1359,554,1455,1247,1549,1458,2198,2256,2523,1803,994,1094,1443,1348,1715,995,2307,1585,936
330,377,363,294,186,279,259,302,279,474,840,668,781,603,508,200,305,512,335,401,250,407,341,512,580,337,264,310,405,524,350,517,419,571,208,366,552,370,530,634,624,791,91,247,259,299,426,380,343,322,400,127,263,270,414,252,285,355,332,323
573,1008,643,1341,520,591,1272,675,933,1193,1682,2188,2075,2931,1830,628,463,766,1370,1142,1033,3542,1326,2762,1835,1143,2410,1207,657,789,1357,1879,3055,2402,1093,1297,1877,625,3479,4153,4122,2709,624,2392,1253,652,1594,618,1767,2572,3638,632,431,1042,1262,912,1604,667,1512,1060
12484,63580,27311,60988,35379,38842,61296,62151,27549,51248,60337,79487,106756,402013,121984,37425,46425,293980,67619,37076,96406,95933,122114,110718,186005,136518,303085,162249,179380,303852,66944,64075,134667,160051,120406,36442,128611,48210,467545,75738,349651,118687,6199,49199,62441,44758,134616,64866,67108,211629,254739,31573,28839,46124,61194,58770,51474,27930,135893,145767
308,371,329,189,213,220,263,408,320,496,409,506,520,574,424,264,345,415,448,369,429,539,395,425,524,325,342,414,399,417,457,803,886,833,529,496,639,611,846,911,775,598,483,553,555,438,562,505,523,638,680,542,554,447,548,485,523,673,703,488
588,811,646,1462,704,714,1110,818,856,1464,555,857,569,746,190,271,209,1235,1112,980,951,1677,2057,1921,1392,775,1284,1094,885,1176,1104,1061,1939,1185,423,959,1660,729,927,1682,2458,1022,342,1157,1549,809,1109,1864,1381,1259,1643,1550,689,890,1097,1637,1057,1213,3590,2332
